,date,vault_address,vault_name,market_uniqueKey,vault_supplyUsd
93,2025-09-05,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
92,2025-09-06,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
91,2025-09-07,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
90,2025-09-08,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
89,2025-09-09,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
88,2025-09-10,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
87,2025-09-11,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
86,2025-09-12,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
85,2025-09-13,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
84,2025-09-14,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
83,2025-09-15,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
82,2025-09-16,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
81,2025-09-17,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
80,2025-09-18,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
79,2025-09-19,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
78,2025-09-20,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
77,2025-09-21,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
76,2025-09-22,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
75,2025-09-23,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
74,2025-09-24,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
73,2025-09-25,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
72,2025-09-26,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
71,2025-09-27,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
70,2025-09-28,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
69,2025-09-29,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
68,2025-09-30,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
67,2025-10-01,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
66,2025-10-02,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
65,2025-10-03,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
64,2025-10-04,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
63,2025-10-05,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
62,2025-10-06,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
61,2025-10-07,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
60,2025-10-08,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
59,2025-10-09,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
58,2025-10-10,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
57,2025-10-11,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
56,2025-10-12,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
55,2025-10-13,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
54,2025-10-14,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
53,2025-10-15,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
52,2025-10-16,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
51,2025-10-17,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
50,2025-10-18,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
49,2025-10-19,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
48,2025-10-20,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
47,2025-10-21,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
46,2025-10-22,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
45,2025-10-23,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
44,2025-10-24,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
43,2025-10-25,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
